Country,Year,life,population,income,region
Afghanistan,1903,27.16,,801,South Asia
Afghanistan,1904,27.15,,804,South Asia
Afghanistan,1905,27.14,,807,South Asia
Afghanistan,1906,27.12,,809,South Asia
Afghanistan,1907,27.11,,812,South Asia
Afghanistan,1908,27.10,,815,South Asia
Afghanistan,1909,27.09,,818,South Asia
Afghanistan,1910,27.08,5351413,820,South Asia
Afghanistan,1911,27.07,,823,South Asia
Afghanistan,1912,27.06,,826,South Asia
Afghanistan,1913,27.05,,829,South Asia
Afghanistan,1914,27.04,,833,South Asia
Afghanistan,1915,27.03,,837,South Asia
Afghanistan,1916,27.02,,841,South Asia
Afghanistan,1917,27.01,,845,South Asia
Afghanistan,1918,7.05,,849,South Asia
Afghanistan,1919,26.99,,853,South Asia
Afghanistan,1920,26.98,5813814,857,South Asia
Afghanistan,1921,27.07,,862,South Asia
Afghanistan,1922,27.17,,868,South Asia
Afghanistan,1923,27.26,,874,South Asia
Afghanistan,1924,27.35,,879,South Asia
Afghanistan,1925,27.44,,885,South Asia
Afghanistan,1926,27.54,,890,South Asia
Afghanistan,1927,27.63,,896,South Asia
Afghanistan,1928,27.72,,902,South Asia
Afghanistan,1929,27.81,,908,South Asia
Afghanistan,1930,27.91,6394908,913,South Asia
Afghanistan,1931,28.00,,919,South Asia
Afghanistan,1932,28.09,,925,South Asia
Afghanistan,1933,28.18,,931,South Asia
Afghanistan,1934,28.28,,937,South Asia
Afghanistan,1935,28.37,,943,South Asia
Afghanistan,1936,28.46,,949,South Asia
Afghanistan,1937,28.55,,955,South Asia
Afghanistan,1938,28.65,,961,South Asia
Afghanistan,1939,28.74,,967,South Asia
Afghanistan,1940,28.83,7034081,973,South Asia
Afghanistan,1941,28.92,,979,South Asia
Afghanistan,1942,29.02,,985,South Asia
Afghanistan,1943,29.11,,991,South Asia
Afghanistan,1944,29.20,,997,South Asia
Afghanistan,1945,29.29,,1004,South Asia
Afghanistan,1946,29.39,,1010,South Asia
Afghanistan,1947,29.48,,1016,South Asia
Afghanistan,1948,29.57,,1022,South Asia
Afghanistan,1949,29.66,,1029,South Asia
Afghanistan,1950,29.76,7752118,1035,South Asia
Afghanistan,1951,30.12,7839426,1050,South Asia
Afghanistan,1952,30.74,7934798,1069,South Asia
Afghanistan,1953,31.35,"8,038,312",1116,South Asia
Afghanistan,1954,31.97,8150037,1122,South Asia
Afghanistan,1955,32.59,8270024,1125,South Asia
Afghanistan,1956,33.21,8398309,1155,South Asia
Afghanistan,1957,33.83,8534913,1134,South Asia
Afghanistan,1958,34.45,8679848,1176,South Asia
Afghanistan,1959,35.07,8833127,1187,South Asia
Afghanistan,1960,35.68,8994793,1206,South Asia
Afghanistan,1961,36.30,9164945,1192,South Asia
Afghanistan,1962,36.92,9343772,1188,South Asia
Afghanistan,1963,37.54,9531555,1185,South Asia
Afghanistan,1964,38.16,9728645,1182,South Asia
Afghanistan,1965,38.78,9935358,1182,South Asia
Afghanistan,1966,39.39,10148841,1168,South Asia
Afghanistan,1967,40.00,10368600,1173,South Asia
Afghanistan,1968,40.61,10599790,1187,South Asia
Afghanistan,1969,41.21,10849510,1178,South Asia
Afghanistan,1970,41.80,11121097,1174,South Asia
Afghanistan,1971,42.20,11412821,1092,South Asia
Afghanistan,1972,42.60,11716896,1046,South Asia
Afghanistan,1973,43.00,"12,022,514",1137,South Asia
Afghanistan,1974,43.50,12315553,1170,South Asia
Afghanistan,1975,44.00,12582954,1201,South Asia
Afghanistan,1976,44.50,12831361,1231,South Asia
Afghanistan,1977,45.00,13056499,1119,South Asia
Afghanistan,1978,44.30,13222547,1179,South Asia
Afghanistan,1979,43.50,13283279,1155,South Asia
Afghanistan,1980,43.50,13211412,1158,South Asia
Afghanistan,1981,44.30,12996923,1284,South Asia
Afghanistan,1982,44.20,12667001,1402,South Asia
Afghanistan,1983,43.00,12279095,1454,South Asia
Afghanistan,1984,41.30,11912510,1429,South Asia
Afghanistan,1985,42.80,11630498,1384,South Asia
Afghanistan,1986,43.50,11438949,1486,South Asia
Afghanistan,1987,45.20,11337932,1230,South Asia
Afghanistan,1988,46.90,11375768,1113,South Asia
Afghanistan,1989,50.20,11608351,1087,South Asia
Afghanistan,1990,50.30,12067570,1028,South Asia
Afghanistan,1991,50.20,12789374,1022,South Asia
Afghanistan,1992,50.40,13745630,941,South Asia
Afghanistan,1993,50.50,14824371,810,South Asia
Afghanistan,1994,50.10,15869967,725,South Asia
Afghanistan,1995,50.40,16772522,872,South Asia
Afghanistan,1996,50.60,17481800,895,South Asia
Afghanistan,1997,50.70,18034130,921,South Asia
Afghanistan,1998,50.00,18511480,947,South Asia
Afghanistan,1999,50.80,19038420,972,South Asia
Afghanistan,2000,51.00,19701940,962,South Asia
Afghanistan,2001,51.10,20531160,862,South Asia
Afghanistan,2002,51.60,21487079,1053,South Asia
Afghanistan,2003,52.10,22507368,1097,South Asia
Afghanistan,2004,52.50,23499850,1067,South Asia
Afghanistan,2005,52.90,24399948,1146,South Asia
Afghanistan,2006,53.20,25183615,1173,South Asia
Afghanistan,2007,53.60,25877544,1298,South Asia
Afghanistan,2008,54.00,26528741,1311,South Asia
Afghanistan,2009,54.50,27207291,1548,South Asia
Afghanistan,2010,54.80,27962207,1637,South Asia
Afghanistan,2011,55.20,28809167,1695,South Asia
Afghanistan,2012,55.50,29726803,1893,South Asia
Afghanistan,2013,56.20,30682500,1884,South Asia
Afghanistan,2014,56.91,31627506,1877,South Asia
Afghanistan,2015,57.63,32526562,1925,South Asia
Albania,1800,35.40,"410,445",667,Europe & Central Asia
Albania,1801,35.40,,667,Europe & Central Asia
Albania,1802,35.40,,668,Europe & Central Asia
Albania,1803,35.40,,668,Europe & Central Asia
Albania,1804,35.40,,668,Europe & Central Asia
Albania,1805,35.40,,668,Europe & Central Asia
Albania,1806,35.40,,668,Europe & Central Asia
Albania,1807,35.40,,668,Europe & Central Asia
Albania,1808,35.40,,668,Europe & Central Asia
Albania,1809,35.40,,668,Europe & Central Asia
Albania,1810,35.40,423591,668,Europe & Central Asia
Albania,1811,35.40,,668,Europe & Central Asia
Albania,1812,35.40,,669,Europe & Central Asia
Albania,1813,35.40,,669,Europe & Central Asia
Albania,1814,35.40,,669,Europe & Central Asia
Albania,1815,35.40,,669,Europe & Central Asia
Albania,1816,35.40,,669,Europe & Central Asia
Albania,1817,35.40,,669,Europe & Central Asia
Albania,1818,35.40,,669,Europe & Central Asia
Albania,1819,35.40,,669,Europe & Central Asia
Albania,1820,35.40,438671,669,Europe & Central Asia
Albania,1821,35.40,,671,Europe & Central Asia
Albania,1822,35.40,,672,Europe & Central Asia
Albania,1823,35.40,,674,Europe & Central Asia
Albania,1824,35.40,,676,Europe & Central Asia
Albania,1825,35.40,,677,Europe & Central Asia
Albania,1826,35.40,,679,Europe & Central Asia
Albania,1827,35.40,,680,Europe & Central Asia
Albania,1828,35.40,,682,Europe & Central Asia
Albania,1829,35.40,,683,Europe & Central Asia
Albania,1830,35.40,457234,685,Europe & Central Asia
Albania,1831,35.40,,686,Europe & Central Asia
Albania,1832,35.40,,688,Europe & Central Asia
Albania,1833,35.40,,689,Europe & Central Asia
Albania,1834,35.40,,691,Europe & Central Asia
Albania,1835,35.40,,693,Europe & Central Asia
Albania,1836,35.40,,694,Europe & Central Asia
Albania,1837,35.40,,696,Europe & Central Asia
Albania,1838,35.40,,697,Europe & Central Asia
Albania,1839,35.40,,699,Europe & Central Asia
Albania,1840,35.40,478227,701,Europe & Central Asia
Albania,1841,35.40,,702,Europe & Central Asia
Albania,1842,35.40,,704,Europe & Central Asia
Albania,1843,35.40,,705,Europe & Central Asia
Albania,1844,35.40,,707,Europe & Central Asia
Albania,1845,35.40,,709,Europe & Central Asia
Albania,1846,35.40,,710,Europe & Central Asia
Albania,1847,35.40,,712,Europe & Central Asia
Albania,1848,35.40,,713,Europe & Central Asia
Albania,1849,35.40,,715,Europe & Central Asia
Albania,1850,35.40,506889,717,Europe & Central Asia
Albania,1851,35.40,,718,Europe & Central Asia
Albania,1852,35.40,,720,Europe & Central Asia
Albania,1853,35.40,,722,Europe & Central Asia
Albania,1854,35.40,,723,Europe & Central Asia
Albania,1855,35.40,,725,Europe & Central Asia
Albania,1856,35.40,,727,Europe & Central Asia
Albania,1857,35.40,,728,Europe & Central Asia
Albania,1858,35.40,,730,Europe & Central Asia
Albania,1859,35.40,,731,Europe & Central Asia
Albania,1860,35.40,552800,733,Europe & Central Asia
Albania,1861,35.40,,735,Europe & Central Asia
Albania,1862,35.40,,736,Europe & Central Asia
Albania,1863,35.40,,738,Europe & Central Asia
Albania,1864,35.40,,740,Europe & Central Asia
Albania,1865,35.40,,742,Europe & Central Asia
Albania,1866,35.40,,743,Europe & Central Asia
Albania,1867,35.40,,745,Europe & Central Asia
Albania,1868,35.40,,747,Europe & Central Asia
Albania,1869,35.40,,748,Europe & Central Asia
Albania,1870,35.40,610036,750,Europe & Central Asia
Albania,1871,35.40,,761,Europe & Central Asia
Albania,1872,35.40,,773,Europe & Central Asia
Albania,1873,35.40,,784,Europe & Central Asia
Albania,1874,35.40,,796,Europe & Central Asia
Albania,1875,35.40,,808,Europe & Central Asia
Albania,1876,35.40,,820,Europe & Central Asia
Albania,1877,35.40,,832,Europe & Central Asia
Albania,1878,35.40,,844,Europe & Central Asia
Albania,1879,35.40,,857,Europe & Central Asia
Albania,1880,35.40,672544,870,Europe & Central Asia
Albania,1881,35.40,,882,Europe & Central Asia
Albania,1882,35.40,,896,Europe & Central Asia
Albania,1883,35.40,,909,Europe & Central Asia
Albania,1884,35.40,,922,Europe & Central Asia
Albania,1885,35.40,,936,Europe & Central Asia
Albania,1886,35.40,,950,Europe & Central Asia
Albania,1887,35.40,,964,Europe & Central Asia
Albania,1888,35.40,,979,Europe & Central Asia
Albania,1889,35.40,,993,Europe & Central Asia
Albania,1890,35.40,741688,1008,Europe & Central Asia
Albania,1891,35.40,,1022,Europe & Central Asia
Albania,1892,35.40,,1036,Europe & Central Asia
Albania,1893,35.40,,1051,Europe & Central Asia
Albania,1894,35.40,,1065,Europe & Central Asia
Albania,1895,35.40,,1080,Europe & Central Asia
Albania,1896,35.40,,1095,Europe & Central Asia
Albania,1897,35.40,,1110,Europe & Central Asia
Albania,1898,35.40,,1125,Europe & Central Asia
Albania,1899,35.40,,1141,Europe & Central Asia
Albania,1900,35.40,819950,1157,Europe & Central Asia
Albania,1901,35.40,,1172,Europe & Central Asia
Albania,1902,35.40,,1188,Europe & Central Asia
Albania,1903,35.40,,1203,Europe & Central Asia
Albania,1904,35.40,,1219,Europe & Central Asia
Albania,1905,35.40,,1236,Europe & Central Asia
Albania,1906,35.40,,1252,Europe & Central Asia
Albania,1907,35.40,,1269,Europe & Central Asia
Albania,1908,35.40,,1285,Europe & Central Asia
Albania,1909,35.40,,1302,Europe & Central Asia
Albania,1910,35.40,901122,1320,Europe & Central Asia
Albania,1911,35.40,,1342,Europe & Central Asia
Albania,1912,35.40,,1365,Europe & Central Asia
Albania,1913,35.40,,1389,Europe & Central Asia
Albania,1914,35.40,,1406,Europe & Central Asia
Albania,1915,35.40,,1424,Europe & Central Asia
Albania,1916,35.40,,1442,Europe & Central Asia
Albania,1917,35.40,,1460,Europe & Central Asia
Albania,1918,19.43,,1479,Europe & Central Asia
Albania,1919,35.40,,1498,Europe & Central Asia
Albania,1920,35.40,963956,1516,Europe & Central Asia
Albania,1921,35.40,,1535,Europe & Central Asia
Albania,1922,35.39,,1554,Europe & Central Asia
Albania,1923,35.39,,1572,Europe & Central Asia
Albania,1924,35.38,,1591,Europe & Central Asia
Albania,1925,35.38,,1610,Europe & Central Asia
Albania,1926,35.37,,1629,Europe & Central Asia
Albania,1927,35.37,,1647,Europe & Central Asia
Albania,1928,35.36,,1666,Europe & Central Asia
Albania,1929,35.36,,1685,Europe & Central Asia
Albania,1930,36.25,1015991,1696,Europe & Central Asia
Albania,1931,37.14,,1707,Europe & Central Asia
Albania,1932,38.02,,1717,Europe & Central Asia
Albania,1933,38.91,,1728,Europe & Central Asia
Albania,1934,39.80,,1738,Europe & Central Asia
Albania,1935,40.69,,1748,Europe & Central Asia
Albania,1936,41.58,,1758,Europe & Central Asia
Albania,1937,42.47,,1768,Europe & Central Asia
Albania,1938,43.36,,1778,Europe & Central Asia
Albania,1939,42.91,,1788,Europe & Central Asia
Albania,1940,41.90,1123210,1797,Europe & Central Asia
Albania,1941,41.40,,1807,Europe & Central Asia
Albania,1942,39.89,,1816,Europe & Central Asia
Albania,1943,36.89,,1825,Europe & Central Asia
Albania,1944,33.88,,1834,Europe & Central Asia
Albania,1945,46.88,,1842,Europe & Central Asia
Albania,1946,49.87,,1851,Europe & Central Asia
Albania,1947,51.37,,1859,Europe & Central Asia
Albania,1948,52.26,,1867,Europe & Central Asia
Albania,1949,53.15,,1875,Europe & Central Asia
Albania,1950,54.04,1263171,1883,Europe & Central Asia
Albania,1951,54.25,1287499,1965,Europe & Central Asia
Albania,1952,54.72,1316086,1968,Europe & Central Asia
Albania,1953,55.31,"1,348,097",2048,Europe & Central Asia
Albania,1954,56.02,1382881,2108,Europe & Central Asia
Albania,1955,56.84,1419969,2222,Europe & Central Asia
Albania,1956,57.77,1459089,2244,Europe & Central Asia
Albania,1957,58.79,1500152,2387,Europe & Central Asia
Albania,1958,59.88,1543224,2493,Europe & Central Asia
Albania,1959,61.00,1588478,2594,Europe & Central Asia
Albania,1960,62.09,1636054,2724,Europe & Central Asia
Albania,1961,63.11,1685901,2744,Europe & Central Asia
Albania,1962,63.99,1737645,2832,Europe & Central Asia
Albania,1963,64.71,1790533,2926,Europe & Central Asia
Albania,1964,65.26,1843596,3023,Europe & Central Asia
Albania,1965,65.64,1896125,3129,Europe & Central Asia
Albania,1966,65.89,1947786,3242,Europe & Central Asia
Albania,1967,66.08,1998695,3359,Europe & Central Asia
Albania,1968,66.26,2049147,3475,Europe & Central Asia
Albania,1969,66.46,2099657,3587,Europe & Central Asia
Albania,1970,66.70,2150602,3712,Europe & Central Asia
Albania,1971,67.10,2202040,3849,Europe & Central Asia
Albania,1972,67.50,2253842,3988,Europe & Central Asia
Albania,1973,68.00,"2,305,999",4174,Europe & Central Asia
Albania,1974,68.60,2358467,4177,Europe & Central Asia
Albania,1975,69.10,2411229,4178,Europe & Central Asia
Albania,1976,69.50,2464338,4182,Europe & Central Asia
Albania,1977,70.00,2517869,4188,Europe & Central Asia
Albania,1978,70.40,2571845,4194,Europe & Central Asia
Albania,1979,70.70,2626290,4201,Europe & Central Asia
Albania,1980,70.90,2681245,4218,Europe & Central Asia
Albania,1981,71.00,2735329,4227,Europe & Central Asia
Albania,1982,71.00,2788315,4237,Europe & Central Asia
Albania,1983,71.00,2842620,4248,Europe & Central Asia
Albania,1984,71.50,2901590,4259,Europe & Central Asia
Albania,1985,72.20,2966799,4267,Europe & Central Asia
Albania,1986,72.70,3041003,4281,Europe & Central Asia
Albania,1987,73.00,3121336,4294,Europe & Central Asia
Albania,1988,73.20,3197064,4307,Europe & Central Asia
Albania,1989,73.40,3253659,4325,Europe & Central Asia
Albania,1990,73.50,3281453,4350,Europe & Central Asia
Albania,1991,73.40,3275438,3081,Europe & Central Asia
Albania,1992,73.40,3240613,2877,Europe & Central Asia
Albania,1993,73.40,3189623,3172,Europe & Central Asia
Albania,1994,73.60,3140634,3457,Europe & Central Asia
Albania,1995,73.80,3106727,3941,Europe & Central Asia
Albania,1996,73.90,3092034,4326,Europe & Central Asia
Albania,1997,73.90,3092471,3909,Europe & Central Asia
Albania,1998,73.80,3102898,4434,Europe & Central Asia
Albania,1999,74.00,3114851,4912,Europe & Central Asia
Albania,2000,74.20,3121965,5305,Europe & Central Asia
Albania,2001,74.40,3124093,5730,Europe & Central Asia
Albania,2002,74.50,3123112,5913,Europe & Central Asia
Albania,2003,74.40,"3,117,045",6274,Europe & Central Asia
Albania,2004,74.40,3103758,6672,Europe & Central Asia
Albania,2005,74.40,3082172,7075,Europe & Central Asia
Albania,2006,74.50,3050741,7476,Europe & Central Asia
Albania,2007,74.70,3010849,7977,Europe & Central Asia
Albania,2008,74.90,2968026,8644,Europe & Central Asia
Albania,2009,75.00,2929886,8994,Europe & Central Asia
Albania,2010,75.20,2901883,9374,Europe & Central Asia
Albania,2011,75.50,2886010,9640,Europe & Central Asia
Albania,2012,75.70,2880667,9811,Europe & Central Asia
Albania,2013,75.80,2883281,9961,Europe & Central Asia
Albania,2014,75.90,2889676,10160,Europe & Central Asia
Albania,2015,76.00,2896679,10620,Europe & Central Asia
Algeria,1800,28.82,"2,503,218",716,Middle East & North Africa
Algeria,1801,28.82,,716,Middle East & North Africa
Algeria,1802,28.82,,717,Middle East & North Africa
Algeria,1803,28.82,,718,Middle East & North Africa
Algeria,1804,28.82,,719,Middle East & North Africa
Algeria,1805,28.82,,720,Middle East & North Africa
Algeria,1806,28.82,,721,Middle East & North Africa
Algeria,1807,28.82,,722,Middle East & North Africa
Algeria,1808,28.82,,723,Middle East & North Africa
Algeria,1809,28.82,,724,Middle East & North Africa
Algeria,1810,28.82,2595056,725,Middle East & North Africa
Algeria,1811,28.82,,726,Middle East & North Africa
Algeria,1812,28.82,,727,Middle East & North Africa
Algeria,1813,28.82,,728,Middle East & North Africa
Algeria,1814,28.82,,729,Middle East & North Africa
Algeria,1815,28.82,,730,Middle East & North Africa
Algeria,1816,28.82,,731,Middle East & North Africa
Algeria,1817,28.82,,732,Middle East & North Africa
Algeria,1818,28.82,,733,Middle East & North Africa
Algeria,1819,28.82,,734,Middle East & North Africa
Algeria,1820,28.82,2713079,735,Middle East & North Africa
Algeria,1821,28.82,,743,Middle East & North Africa
Algeria,1822,28.82,,751,Middle East & North Africa
Algeria,1823,28.82,,759,Middle East & North Africa
Algeria,1824,28.82,,768,Middle East & North Africa
Algeria,1825,28.82,,776,Middle East & North Africa
Algeria,1826,28.82,,784,Middle East & North Africa
Algeria,1827,28.82,,793,Middle East & North Africa
Algeria,1828,28.82,,802,Middle East & North Africa
Algeria,1829,28.82,,810,Middle East & North Africa
Algeria,1830,28.82,2880355,819,Middle East & North Africa
Algeria,1831,28.82,,828,Middle East & North Africa
Algeria,1832,28.82,,837,Middle East & North Africa
Algeria,1833,28.82,,846,Middle East & North Africa
Algeria,1834,28.82,,855,Middle East & North Africa
Algeria,1835,28.82,,865,Middle East & North Africa
Algeria,1836,28.82,,874,Middle East & North Africa
Algeria,1837,28.82,,884,Middle East & North Africa
Algeria,1838,28.82,,893,Middle East & North Africa
Algeria,1839,28.82,,903,Middle East & North Africa
Algeria,1840,28.82,3082721,913,Middle East & North Africa
Algeria,1841,28.82,,923,Middle East & North Africa
Algeria,1842,28.82,,933,Middle East & North Africa
Algeria,1843,28.82,,943,Middle East & North Africa
Algeria,1844,28.82,,953,Middle East & North Africa
Algeria,1845,28.82,,964,Middle East & North Africa
Algeria,1846,28.82,,974,Middle East & North Africa
Algeria,1847,28.82,,985,Middle East & North Africa
Algeria,1848,28.82,,996,Middle East & North Africa
Algeria,1849,20.00,,1007,Middle East & North Africa
Algeria,1850,15.00,3299305,1017,Middle East & North Africa
Algeria,1851,22.00,,1029,Middle East & North Africa
Algeria,1852,28.82,,1040,Middle East & North Africa
Algeria,1853,28.82,,1051,Middle East & North Africa
Algeria,1854,28.82,,1063,Middle East & North Africa
Algeria,1855,28.82,,1074,Middle East & North Africa
Algeria,1856,28.82,,1086,Middle East & North Africa
Algeria,1857,28.82,,1098,Middle East & North Africa
Algeria,1858,28.82,,1110,Middle East & North Africa
Algeria,1859,28.82,,1122,Middle East & North Africa
Algeria,1860,28.82,3536468,1134,Middle East & North Africa
Algeria,1861,28.82,,1146,Middle East & North Africa
Algeria,1862,28.82,,1159,Middle East & North Africa
Algeria,1863,28.82,,1172,Middle East & North Africa
Algeria,1864,28.82,,1184,Middle East & North Africa
Algeria,1865,28.82,,1197,Middle East & North Africa
Algeria,1866,28.82,,1210,Middle East & North Africa
Algeria,1867,21.00,,1223,Middle East & North Africa
Algeria,1868,11.00,,1237,Middle East & North Africa
Algeria,1869,15.00,,1250,Middle East & North Africa
Algeria,1870,22.00,3811028,1264,Middle East & North Africa
Algeria,1871,28.82,,1278,Middle East & North Africa
Algeria,1872,28.82,,1292,Middle East & North Africa
Algeria,1873,28.82,,1306,Middle East & North Africa
Algeria,1874,28.82,,1320,Middle East & North Africa
Algeria,1875,28.82,,1334,Middle East & North Africa
Algeria,1876,28.82,,1349,Middle East & North Africa
Algeria,1877,28.82,,1364,Middle East & North Africa
Algeria,1878,28.82,,1378,Middle East & North Africa
Algeria,1879,28.82,,1393,Middle East & North Africa
Algeria,1880,28.82,4143163,1409,Middle East & North Africa
Algeria,1881,28.82,,1424,Middle East & North Africa
Algeria,1882,28.82,,1440,Middle East & North Africa
Algeria,1883,28.82,,1455,Middle East & North Africa
Algeria,1884,28.82,,1471,Middle East & North Africa
Algeria,1885,28.82,,1487,Middle East & North Africa
Algeria,1886,28.82,,1503,Middle East & North Africa
Algeria,1887,28.82,,1520,Middle East & North Africa
Algeria,1888,28.82,,1536,Middle East & North Africa
Algeria,1889,28.82,,1553,Middle East & North Africa
Algeria,1890,28.82,4525691,1570,Middle East & North Africa
Algeria,1891,28.82,,1587,Middle East & North Africa
Algeria,1892,28.82,,1604,Middle East & North Africa
Algeria,1893,28.82,,1622,Middle East & North Africa
Algeria,1894,28.82,,1640,Middle East & North Africa
Algeria,1895,28.82,,1657,Middle East & North Africa
Algeria,1896,28.82,,1676,Middle East & North Africa
Algeria,1897,28.82,,1694,Middle East & North Africa
Algeria,1898,28.82,,1712,Middle East & North Africa
Algeria,1899,28.82,,1731,Middle East & North Africa
Algeria,1900,28.86,4946166,1750,Middle East & North Africa
Algeria,1901,28.90,,1769,Middle East & North Africa
Algeria,1902,28.94,,1788,Middle East & North Africa
Algeria,1903,29.86,,1808,Middle East & North Africa
Algeria,1904,24.12,,1827,Middle East & North Africa
Algeria,1905,26.70,,1847,Middle East & North Africa
Algeria,1906,28.03,,1867,Middle East & North Africa
Algeria,1907,27.93,,1888,Middle East & North Africa
Algeria,1908,27.84,,1908,Middle East & North Africa
Algeria,1909,29.26,,1929,Middle East & North Africa
Algeria,1910,30.79,5404045,1950,Middle East & North Africa
Algeria,1911,30.51,,1998,Middle East & North Africa
Algeria,1912,31.79,,2046,Middle East & North Africa
Algeria,1913,29.66,,2096,Middle East & North Africa
Algeria,1914,29.16,,2132,Middle East & North Africa
Algeria,1915,28.66,,2169,Middle East & North Africa
Algeria,1916,28.29,,2206,Middle East & North Africa
Algeria,1917,28.29,,2244,Middle East & North Africa
Algeria,1918,22.06,,2281,Middle East & North Africa
Algeria,1919,28.29,,2319,Middle East & North Africa
Algeria,1920,27.50,6063800,2358,Middle East & North Africa
Algeria,1921,27.62,,2418,Middle East & North Africa
Algeria,1922,27.47,,2477,Middle East & North Africa
Algeria,1923,30.00,,2537,Middle East & North Africa
Algeria,1924,31.47,,2596,Middle East & North Africa
Algeria,1925,32.26,,2654,Middle East & North Africa
Algeria,1926,31.72,,2713,Middle East & North Africa
Algeria,1927,27.36,,2771,Middle East & North Africa
Algeria,1928,30.79,,2828,Middle East & North Africa
